"ratID","des_days","muscle","cycle","data"
"rat21",-1,"VM",1,1.55270389966584
"rat21",-1,"VM",4,1.7366449880187
"rat21",-1,"VM",5,1.17871159532421
"rat21",-1,"VM",6,1.85268100817496
"rat21",-1,"VM",12,1.85448340093749
"rat21",-1,"VM",13,1.08197035646997
"rat21",-1,"VM",14,0.847692463265586
"rat21",-1,"VM",15,1.84748585184385
"rat21",-1,"VM",16,0.955372130139956
"rat21",-1,"VM",17,1.56761346762664
"rat21",-1,"VM",18,1.5844577628847
"rat21",-1,"VM",19,1.12080170212599
"rat21",-1,"VM",20,1.31037627137425
"rat21",-1,"VM",21,0.844965899212284
"rat21",-1,"VM",22,0.783926624497139
"rat21",-1,"VM",23,1.14192795741512
"rat21",-1,"VM",25,1.25938657958853
"rat21",-1,"VM",26,0.599240309069461
"rat21",-1,"VM",28,0.684444161739365
"rat21",-1,"VM",29,0.700161338071628
"rat21",-1,"VM",30,1.33912703193532
"rat21",-1,"VM",31,1.63061702927809
"rat21",-1,"VM",32,0.594212091778428
"rat21",-1,"VM",37,0.84486346768399
"rat21",-1,"VM",38,0.615994370978144
"rat21",-1,"VM",40,0.772824835830124
"rat21",-1,"VM",42,0.90160182896848
"rat21",-1,"VM",43,1.12084622733206
"rat21",-1,"VM",44,0.64911216566975
"rat21",-1,"VM",45,1.01210692150017
"rat21",-1,"VM",46,0.847734845365122
"rat21",-1,"VM",50,0.805194460024606
"rat21",-1,"VM",51,1.50521573226386
"rat21",-1,"VM",52,1.37699610855479
"rat21",-1,"VM",53,1.17389370414494
"rat21",-1,"VM",55,0.92973611036405
"rat21",-1,"VM",56,0.982083179543163
"rat21",-1,"VM",57,1.65323769430678
"rat21",-1,"VM",64,0.734540853814053
"rat21",-1,"VM",65,1.32123962034132
"rat21",-1,"VM",70,0.773100945022107
"rat21",-1,"VM",71,0.539889386955974
"rat21",-1,"VM",72,0.837274121748568
"rat21",-1,"VM",73,0.33876356996369
"rat21",-1,"VM",74,0.819491855388521
"rat21",-1,"VM",75,1.23918060661166
"rat21",-1,"VM",76,1.11068538143204
"rat21",-1,"VM",77,0.84916796026449
"rat21",-1,"VM",78,1.10808946250751
"rat21",-1,"VM",79,0.778536001864164
"rat21",-1,"VM",80,1.171174644882
"rat21",-1,"VM",81,0.675582245960975
"rat21",-1,"VM",82,0.882140457400768
"rat21",-1,"VM",83,0.983114229426637
"rat21",-1,"VM",85,0.91046960558654
"rat21",-1,"VM",86,0.736122098195909
"rat21",-1,"VM",89,0.800564619104032
"rat21",-1,"VM",90,1.63195911379208
"rat21",-1,"VM",93,0.832784674716888
"rat21",-1,"VM",97,0.772492404922526
"rat21",-1,"VM",98,0.786810021322208
"rat21",-1,"VM",99,0.925619812516285
"rat21",-1,"VM",100,1.4067603461012
"rat21",-1,"VM",102,1.25127067695483
"rat21",-1,"VM",103,0.823048238225768
"rat21",-1,"VM",106,1.42012759902043
"rat21",-1,"VM",107,0.972504057787816
"rat21",-1,"VM",108,0.992831016093319
"rat21",-1,"VM",109,1.66938310888168
"rat21",-1,"VM",112,0.87453312195346
"rat21",-1,"VM",113,1.00967053248433
"rat21",-1,"VM",116,0.860696019428439
"rat21",-1,"VM",117,0.936316420843709
"rat21",-1,"VM",118,0.446127186233888
"rat21",-1,"VM",120,0.781703950256125
"rat21",-1,"VM",121,0.643171895467338
"rat21",-1,"VM",122,1.27210771580467
"rat21",-1,"VM",123,0.220074960551819
"rat21",-1,"VM",125,1.39377257249762
"rat21",-1,"VM",126,0.907387182183915
"rat21",-1,"VM",127,0.556770781059912
"rat21",-1,"VM",128,0.945339975983412
"rat21",-1,"VM",130,1.07950073802473
"rat21",-1,"VM",131,0.825818118594734
"rat21",-1,"VM",132,1.16176917679963
"rat21",-1,"VM",133,0.796793931560175
"rat21",-1,"VM",134,0.670305769729536
"rat21",-1,"VM",137,0.522857787180235
"rat21",-1,"VM",138,0.603280317631356
"rat21",-1,"VM",139,0.951340665747732
"rat21",-1,"VM",141,0.645112501335302
"rat21",-1,"VM",142,0.73484988649671
"rat21",-1,"VM",143,0.805534482377725
"rat21",1,"VM",5,1.77397218803105
"rat21",1,"VM",10,1.37549897654257
"rat21",1,"VM",12,3.608556493325
"rat21",1,"VM",14,1.38641171949487
"rat21",1,"VM",15,1.05759984985998
"rat21",1,"VM",18,3.48216584476793
"rat21",1,"VM",19,2.58832932262228
"rat21",1,"VM",20,2.59136004594911
"rat21",1,"VM",22,3.22194667480921
"rat21",1,"VM",24,1.75565582963436
"rat21",1,"VM",26,3.76803674431696
"rat21",1,"VM",27,3.06286352737855
"rat21",1,"VM",28,2.78789934776579
"rat21",1,"VM",30,1.41461887717851
"rat21",1,"VM",32,2.88065797987096
"rat21",1,"VM",33,3.1427160936712
"rat21",1,"VM",34,2.87532567479627
"rat21",1,"VM",35,3.75109255551503
"rat21",1,"VM",36,3.66469243144373
"rat21",1,"VM",37,3.00975806755836
"rat21",1,"VM",38,2.09067819529451
"rat21",1,"VM",39,2.09596332349216
"rat21",1,"VM",40,2.95638331364292
"rat21",1,"VM",42,2.07232025545906
"rat21",1,"VM",43,3.15309869087258
"rat21",1,"VM",44,3.75748944480412
"rat21",1,"VM",45,2.04724122595667
"rat21",1,"VM",46,2.16773234743321
"rat21",1,"VM",47,2.85267665510882
"rat21",1,"VM",48,2.36941950845604
"rat21",1,"VM",49,3.360903018725
"rat21",1,"VM",50,0.638051805818293
"rat21",1,"VM",52,0.900261624679626
"rat21",1,"VM",55,2.56442924542999
"rat21",1,"VM",56,2.26647504001686
"rat21",1,"VM",57,2.39423154466366
"rat21",1,"VM",62,2.09496766912331
"rat21",1,"VM",64,1.88427984067711
"rat21",1,"VM",65,2.80284135277483
"rat21",1,"VM",66,2.03191344373835
"rat21",1,"VM",67,2.30757127289577
"rat21",1,"VM",68,2.19465162724681
"rat21",1,"VM",69,2.32688326973173
"rat21",1,"VM",70,2.09741745287981
"rat21",1,"VM",71,2.45755164056551
"rat21",1,"VM",74,1.9250350583227
"rat21",1,"VM",75,1.50201113633636
"rat21",1,"VM",76,1.31167770226848
"rat21",1,"VM",78,1.6205904205954
"rat21",1,"VM",79,2.33980899279227
"rat21",1,"VM",80,2.22627962185197
"rat21",1,"VM",82,5.03795628471842
"rat21",1,"VM",83,2.26763131238336
"rat21",1,"VM",84,2.61199056803628
"rat21",1,"VM",85,0.919920274068069
"rat21",1,"VM",87,3.56921387912334
"rat21",1,"VM",88,2.94146807377542
"rat21",9,"VM",1,2.16781187768692
"rat21",9,"VM",3,1.03532238725404
"rat21",9,"VM",4,0.859954450288473
"rat21",9,"VM",10,1.21603049339899
"rat21",9,"VM",11,0.502842353339553
"rat21",9,"VM",12,0.672718857812324
"rat21",9,"VM",13,0.839425613671198
"rat21",9,"VM",14,0.954582560176787
"rat21",45,"VM",1,1.46148090549424
"rat21",45,"VM",2,1.63056192661583
"rat21",45,"VM",3,1.03667242237541
"rat21",45,"VM",7,1.25359281417248
"rat21",45,"VM",8,1.19093939383768
"rat21",45,"VM",9,1.1521206543575
"rat21",45,"VM",10,1.14929782467426
"rat21",45,"VM",11,1.60201990094192
"rat21",45,"VM",12,2.15240772384844
"rat21",45,"VM",13,1.12524464104608
"rat21",45,"VM",14,1.15365839396231
"rat21",45,"VM",15,1.39418179744561
"rat21",45,"VM",16,1.80657911023334
"rat21",45,"VM",17,2.09280120211864
"rat21",45,"VM",18,3.45128823984273
"rat21",45,"VM",19,1.23644997577543
"rat21",45,"VM",21,1.37029891924572
"rat21",45,"VM",22,1.93788453179446
"rat21",45,"VM",24,2.71435819074726
"rat21",45,"VM",25,1.10929684439234
"rat21",45,"VM",28,1.02637158310585
"rat21",45,"VM",29,1.70154859924574
"rat21",45,"VM",30,1.23712244014905
"rat21",45,"VM",31,2.79883237414748
"rat21",45,"VM",32,1.02776137859897
"rat21",45,"VM",34,1.06148198353387
"rat21",45,"VM",35,1.00172480002152
"rat21",45,"VM",36,0.964284891492718
"rat21",45,"VM",37,0.952862537750135
"rat21",45,"VM",38,1.41322030582194
"rat21",45,"VM",39,0.569831591532771
"rat21",45,"VM",40,0.775446288264554
"rat21",45,"VM",41,1.28608044929385
"rat21",45,"VM",42,1.08707241930717
"rat21",45,"VM",43,0.997286713261243
"rat21",45,"VM",44,1.27856721986035
"rat21",45,"VM",46,1.66351937858543
"rat21",45,"VM",47,2.40746968915513
"rat21",45,"VM",48,0.619246515443446
"rat21",45,"VM",50,0.916842435686593
"rat21",45,"VM",52,0.812394714499325
"rat21",45,"VM",53,1.50497575998019
"rat21",45,"VM",54,1.52799606048668
"rat21",45,"VM",55,0.952123539103942
"rat21",45,"VM",56,1.13598280772096
"rat21",45,"VM",57,1.22846686944246
"rat21",45,"VM",58,1.41337675621255
"rat21",45,"VM",59,0.801136751329537
"rat21",45,"VM",60,1.37109006289757
"rat21",45,"VM",61,0.646118436286959
"rat21",45,"VM",62,0.798923356708769
"rat21",45,"VM",64,1.18365924160348
"rat21",45,"VM",65,1.00741057774524
"rat21",45,"VM",66,1.11354443856878
"rat21",45,"VM",67,1.24712879176626
"rat21",45,"VM",68,1.1646017326359
"rat21",45,"VM",72,1.1368325061136
"rat21",45,"VM",73,1.0414428952207
"rat21",45,"VM",75,1.80781001749685
"rat21",45,"VM",78,0.525685239885435
"rat21",45,"VM",79,0.981472862296231
"rat21",45,"VM",81,1.18775332484236
"rat22",-1,"RF",2,1.1121169278218
"rat22",-1,"RF",3,0.806915851547783
"rat22",-1,"RF",4,0.729393908449148
"rat22",-1,"RF",7,0.609524502952383
"rat22",-1,"RF",8,1.70305354509167
"rat22",-1,"RF",9,0.885970488112907
"rat22",-1,"RF",10,1.26116405535339
"rat22",-1,"RF",11,0.837275940068381
"rat22",-1,"RF",12,1.00735610990369
"rat22",-1,"RF",13,0.837791952658588
"rat22",-1,"RF",15,1.17702733555132
"rat22",-1,"RF",16,0.493291845643525
"rat22",-1,"RF",17,1.00026135886831
"rat22",-1,"RF",18,0.490192479432654
"rat22",-1,"RF",19,0.371652487076345
"rat22",-1,"RF",20,0.516059204905129
"rat22",-1,"RF",21,1.00008487188978
"rat22",-1,"RF",22,0.70316675106318
"rat22",-1,"RF",23,0.793162861206698
"rat22",-1,"RF",24,0.688937801678582
"rat22",-1,"RF",25,1.19865050405855
"rat22",-1,"RF",26,0.460874272888835
"rat22",-1,"RF",29,1.09007840750383
"rat22",-1,"RF",30,1.96269193597575
"rat22",-1,"RF",31,0.846193064469506
"rat22",-1,"RF",35,0.718318594248564
"rat22",-1,"RF",36,1.05391481117894
"rat22",-1,"RF",37,0.901704641728309
"rat22",-1,"RF",38,0.899739617453059
"rat22",-1,"RF",39,0.640872941696221
"rat22",-1,"RF",40,1.86044460742076
"rat22",-1,"RF",41,0.63079693074177
"rat22",-1,"RF",43,0.829738144078178
"rat22",-1,"RF",44,1.19739473888137
"rat22",-1,"RF",45,1.8441678275443
"rat22",-1,"RF",46,0.322677340161816
"rat22",-1,"RF",47,0.710120376852732
"rat22",-1,"RF",49,0.811784771769774
"rat22",-1,"RF",51,1.24471391836196
"rat22",-1,"RF",52,1.34068039157323
"rat22",-1,"RF",53,1.65051711785659
"rat22",-1,"RF",54,1.06449842687212
"rat22",-1,"RF",55,0.896819291849334
"rat22",-1,"RF",56,0.897632586187318
"rat22",-1,"RF",57,0.679540322430225
"rat22",-1,"RF",58,0.882819741099253
"rat22",-1,"RF",59,0.809935838904682
"rat22",-1,"RF",60,1.39110074635551
"rat22",-1,"RF",62,1.49521710320267
"rat22",-1,"RF",63,1.12882547059028
"rat22",-1,"RF",64,1.28340598455478
"rat22",-1,"RF",67,1.64810471323291
"rat22",-1,"RF",68,0.994111541603226
"rat22",-1,"RF",69,1.54728138550925
"rat22",-1,"RF",70,0.978497008501939
"rat22",-1,"RF",73,0.830330147410555
"rat22",-1,"RF",74,1.57269074077565
"rat22",-1,"RF",75,1.22405297627217
"rat22",-1,"RF",76,1.11268096426261
"rat22",-1,"RF",77,0.949824351779308
"rat22",-1,"RF",79,0.551417070123982
"rat22",-1,"RF",80,0.798576873444433
"rat22",-1,"RF",81,1.01224654490681
"rat22",-1,"RF",83,1.00991493441165
"rat22",1,"RF",3,3.79748401638668
"rat22",1,"RF",5,2.89236986302105
"rat22",1,"RF",7,3.69422351102968
"rat22",1,"RF",10,2.38524730796427
"rat22",1,"RF",13,3.62512790822819
"rat22",1,"RF",14,4.87458227154343
"rat22",1,"RF",15,3.46644232443893
"rat22",1,"RF",16,3.28469060910412
"rat22",1,"RF",17,4.10693207977519
"rat22",1,"RF",18,5.11274378601759
"rat22",1,"RF",19,4.35420936265601
"rat22",1,"RF",20,3.95588700920487
"rat22",1,"RF",21,3.98854249079099
"rat22",1,"RF",22,3.64594748144693
"rat22",1,"RF",23,3.35400093098851
"rat22",1,"RF",24,3.38136098292741
"rat22",1,"RF",25,3.07436360925466
"rat22",1,"RF",26,4.06897644704375
"rat22",1,"RF",27,2.62736381286935
"rat22",1,"RF",30,4.05979217617958
"rat22",1,"RF",31,4.437334231381
"rat22",1,"RF",32,4.35794548757412
"rat22",1,"RF",33,3.76837632496161
"rat22",1,"RF",34,4.81392945747034
"rat22",1,"RF",35,3.63084768086885
"rat22",1,"RF",39,3.89151934472214
"rat22",1,"RF",40,3.13624883634429
"rat22",1,"RF",41,2.30902448825931
"rat22",1,"RF",42,4.76170475948104
"rat22",1,"RF",45,4.00647128408472
"rat22",1,"RF",47,3.19301767788843
"rat22",1,"RF",48,3.95726574255196
"rat22",1,"RF",49,4.65548442929484
"rat22",1,"RF",51,3.07113643197097
"rat22",1,"RF",52,5.08023266213016
"rat22",1,"RF",55,3.48096251760644
"rat22",1,"RF",56,4.22422017128275
"rat22",1,"RF",57,2.08301849674849
"rat22",1,"RF",58,4.67065690313045
"rat22",1,"RF",60,4.08270738100664
"rat22",1,"RF",61,4.28553611624289
"rat22",1,"RF",64,3.01944399175116
"rat22",1,"RF",66,3.84142043167484
