"ratID","des_days","feature","cycle","data"
"rat21",14,"percentage_stance",52,0.672727272727259
"rat21",14,"percentage_stance",56,0.574074074074072
"rat21",14,"percentage_stance",57,0.694915254237278
"rat21",14,"percentage_stance",58,0.650000000000007
"rat21",14,"percentage_stance",59,0.721311475409833
"rat21",14,"percentage_stance",60,0.666666666666683
"rat21",14,"percentage_stance",61,0.716666666666668
"rat21",14,"percentage_stance",62,0.71186440677966
"rat21",14,"percentage_stance",63,0.68965517241378
"rat21",14,"percentage_stance",64,0.741935483870969
"rat21",14,"percentage_stance",65,0.701492537313451
"rat21",14,"percentage_stance",69,0.603773584905673
"rat21",14,"percentage_stance",70,0.750000000000006
"rat21",14,"percentage_stance",71,0.741379310344842
"rat21",14,"percentage_stance",75,0.698113207547177
"rat21",14,"percentage_stance",76,0.75
"rat21",14,"percentage_stance",77,0.701754385964906
"rat21",14,"percentage_stance",78,0.688524590163938
"rat21",14,"percentage_stance",79,0.737704918032792
"rat21",14,"percentage_stance",80,0.70967741935483
"rat21",14,"percentage_stance",81,0.661538461538444
"rat21",14,"percentage_stance",82,0.74603174603175
"rat21",14,"percentage_stance",83,0.648148148148147
"rat21",14,"percentage_stance",84,0.728813559322041
"rat21",14,"percentage_stance",88,0.603773584905646
"rat21",48,"percentage_stance",6,0.627118644067792
"rat21",48,"percentage_stance",7,0.672131147541002
"rat21",48,"percentage_stance",11,0.730769230769228
"rat21",48,"percentage_stance",12,0.660714285714291
"rat21",48,"percentage_stance",13,0.636363636363642
"rat21",48,"percentage_stance",17,0.648148148148156
"rat21",48,"percentage_stance",20,0.704590163934427
"rat21",48,"percentage_stance",21,0.618181818181828
"rat21",48,"percentage_stance",22,0.676470588235278
"rat21",48,"percentage_stance",23,0.637931034482744
"rat21",48,"percentage_stance",27,0.644067796610158
"rat21",48,"percentage_stance",28,0.677966101694913
"rat21",48,"percentage_stance",29,0.614035087719305
"rat21",48,"percentage_stance",30,0.684210526315799
"rat21",48,"percentage_stance",31,0.60000000000001
"rat21",48,"percentage_stance",32,0.754098360655728
"rat21",48,"percentage_stance",36,0.690909090909086
"rat21",48,"percentage_stance",37,0.653061224489799
"rat21",48,"percentage_stance",38,0.719298245614038
"rat21",48,"percentage_stance",39,0.666666666666674
"rat21",48,"percentage_stance",43,0.709090909090895
"rat21",48,"percentage_stance",44,0.746268656716432
"rat21",48,"percentage_stance",45,0.673076923076926
"rat21",48,"percentage_stance",46,0.636363636363629
"rat21",48,"percentage_stance",49,0.762711864406798
"rat21",48,"percentage_stance",50,0.705882352941196
"rat21",48,"percentage_stance",51,0.745762711864399
"rat21",48,"percentage_stance",52,0.699666666666665
"rat21",48,"percentage_stance",53,0.672727272727284
"rat21",48,"percentage_stance",54,0.593220338983062
"rat21",48,"percentage_stance",55,0.703703703703713
"rat21",48,"percentage_stance",56,0.649122807017535
"rat21",48,"percentage_stance",57,0.706896551724159
"rat21",48,"percentage_stance",58,0.727272727272723
"rat21",48,"percentage_stance",59,0.648148148148147
"rat21",48,"percentage_stance",60,0.775862068965524
"rat21",48,"percentage_stance",61,0.672413793103451
"rat21",48,"percentage_stance",62,0.645833333333333
"rat21",48,"percentage_stance",63,0.679245283018865
"rat21",48,"percentage_stance",64,0.771929824561389
"rat21",48,"percentage_stance",65,0.709677419354846
"rat21",48,"percentage_stance",66,0.70967741935483
"rat21",48,"percentage_stance",71,0.722222222222234
"rat21",48,"percentage_stance",78,0.619999999999976
"rat22",-1,"percentage_stance",1,0.629629629629645
"rat22",-1,"percentage_stance",2,0.723684210526326
"rat22",-1,"percentage_stance",3,0.698630136986305
"rat22",-1,"percentage_stance",9,0.694915254237295
"rat22",-1,"percentage_stance",13,0.617647058823526
"rat22",-1,"percentage_stance",14,0.733333333333348
"rat22",-1,"percentage_stance",15,0.699999999999993
"rat22",-1,"percentage_stance",22,0.698630136986305
"rat22",-1,"percentage_stance",23,0.683333333333334
"rat22",-1,"percentage_stance",31,0.680555555555549
"rat22",-1,"percentage_stance",32,0.685185185185177
"rat22",-1,"percentage_stance",33,0.706666666666668
"rat22",-1,"percentage_stance",34,0.679245283018865
"rat22",-1,"percentage_stance",38,0.735294117647067
"rat22",-1,"percentage_stance",39,0.773333333333331
"rat22",-1,"percentage_stance",53,0.666666666666667
"rat22",-1,"percentage_stance",54,0.657142857142859
"rat22",-1,"percentage_stance",55,0.736842105263151
"rat22",-1,"percentage_stance",72,0.620689655172415
"rat22",-1,"percentage_stance",73,0.661016949152555
"rat22",-1,"percentage_stance",74,0.649999999999992
"rat22",-1,"percentage_stance",75,0.687499999999996
"rat22",-1,"percentage_stance",76,0.719298245614038
"rat22",-1,"percentage_stance",80,0.749999999999994
"rat22",-1,"percentage_stance",81,0.656250000000002
"rat22",-1,"percentage_stance",82,0.61538461538461
"rat22",-1,"percentage_stance",83,0.67187500000001
"rat22",-1,"percentage_stance",84,0.722222222222238
"rat22",1,"percentage_stance",2,0.591836734693867
"rat22",1,"percentage_stance",5,0.777777777777775
"rat22",1,"percentage_stance",6,0.638297872340421
"rat22",1,"percentage_stance",13,0.66666666666665
"rat22",1,"percentage_stance",14,0.710144927536227
"rat22",1,"percentage_stance",15,0.696969696969691
"rat22",1,"percentage_stance",18,0.666666666666658
"rat22",1,"percentage_stance",19,0.672727272727284
"rat22",1,"percentage_stance",20,0.691176470588227
"rat22",1,"percentage_stance",27,0.642857142857148
"rat22",1,"percentage_stance",28,0.676923076923068
"rat22",1,"percentage_stance",29,0.579999999999984
"rat22",1,"percentage_stance",30,0.609375
"rat22",1,"percentage_stance",31,0.593220338983052
"rat22",1,"percentage_stance",32,0.620000000000005
"rat22",1,"percentage_stance",33,0.617647058823526
"rat22",1,"percentage_stance",38,0.606557377049188
"rat22",1,"percentage_stance",39,0.660377358490554
"rat22",1,"percentage_stance",40,0.620689655172415
"rat22",1,"percentage_stance",41,0.637681159420289
"rat22",1,"percentage_stance",42,0.75000000000001
"rat22",1,"percentage_stance",43,0.547619047619055
"rat22",1,"percentage_stance",44,0.74324324324323
"rat22",1,"percentage_stance",52,0.75
"rat22",1,"percentage_stance",53,0.531914893617023
"rat22",1,"percentage_stance",54,0.59701492537312
"rat22",1,"percentage_stance",55,0.672413793103451
"rat22",1,"percentage_stance",56,0.676470588235292
"rat22",1,"percentage_stance",66,0.631578947368412
"rat22",1,"percentage_stance",67,0.634920634920626
"rat22",1,"percentage_stance",76,0.732394366197189
"rat22",1,"percentage_stance",77,0.69642857142857
"rat22",1,"percentage_stance",78,0.611111111111117
"rat22",48,"percentage_stance",5,0.615384615384619
"rat22",48,"percentage_stance",8,0.712121212121214
"rat22",48,"percentage_stance",9,0.69354838709678
"rat22",48,"percentage_stance",10,0.514285714285711
"rat22",48,"percentage_stance",11,0.596153846153855
"rat22",48,"percentage_stance",14,0.687499999999991
"rat22",48,"percentage_stance",18,0.677419354838723
"rat22",48,"percentage_stance",19,0.69354838709678
"rat22",48,"percentage_stance",20,0.6078431372549
"rat22",48,"percentage_stance",21,0.625000000000005
"rat22",48,"percentage_stance",22,0.583333333333331
"rat22",48,"percentage_stance",23,0.772151898734184
"rat22",48,"percentage_stance",24,0.620689655172415
"rat22",48,"percentage_stance",25,0.622950819672148
"rat22",48,"percentage_stance",26,0.627118644067801
"rat22",48,"percentage_stance",27,0.638297872340421
"rat22",48,"percentage_stance",28,0.709302325581395
"rat22",48,"percentage_stance",29,0.6078431372549
"rat22",48,"percentage_stance",30,0.579999999999984
"rat22",48,"percentage_stance",33,0.596491228070189
"rat22",48,"percentage_stance",34,0.71428571428572
"rat22",48,"percentage_stance",35,0.614035087719296
"rat22",48,"percentage_stance",36,0.462962962962958
"rat22",48,"percentage_stance",37,0.63095238095238
"rat22",48,"percentage_stance",38,0.431818181818179
"rat22",48,"percentage_stance",39,0.730769230769221
"rat22",48,"percentage_stance",40,0.521739130434779
"rat22",48,"percentage_stance",41,0.581818181818198
"rat22",48,"percentage_stance",42,0.69354838709678
"rat22",48,"percentage_stance",43,0.633333333333332
"rat22",48,"percentage_stance",50,0.518518518518515
"rat22",48,"percentage_stance",54,0.548387096774208
"rat22",48,"percentage_stance",55,0.549019607843134
"rat22",48,"percentage_stance",56,0.651515151515165
"rat22",48,"percentage_stance",57,0.647058823529419
"rat22",48,"percentage_stance",58,0.616666666666656
"rat22",48,"percentage_stance",59,0.610169491525419
"rat22",48,"percentage_stance",62,0.593220338983052
"rat22",48,"percentage_stance",63,0.610169491525419
"rat22",48,"percentage_stance",64,0.535211267605641
"rat22",48,"percentage_stance",65,0.622641509433958
"rat24",-1,"percentage_stance",2,0.779661016949148
"rat24",-1,"percentage_stance",3,0.666666666666664
"rat24",-1,"percentage_stance",4,0.805194805194803
"rat24",-1,"percentage_stance",5,0.720588235294116
"rat24",-1,"percentage_stance",8,0.759259259259261
"rat24",-1,"percentage_stance",9,0.817073170731709
"rat24",-1,"percentage_stance",15,0.719999999999999
"rat24",-1,"percentage_stance",16,0.788732394366194
"rat24",-1,"percentage_stance",17,0.727272727272732
"rat24",-1,"percentage_stance",22,0.762499999999995
"rat24",-1,"percentage_stance",31,0.847826086956521
"rat24",-1,"percentage_stance",32,0.75
