"ratID","des_days","joint","cycle","data"
"rat21",-1,"ankle",68,54.4262729192239
"rat21",-1,"ankle",70,56.3889811017306
"rat21",-1,"ankle",71,65.5120529931714
"rat21",-1,"ankle",72,68.6897559283824
"rat21",-1,"ankle",73,66.1792947652345
"rat21",-1,"ankle",74,60.334328096807
"rat21",-1,"ankle",75,58.9260775409179
"rat21",-1,"ankle",76,55.8562403023233
"rat21",-1,"ankle",77,53.0272059014019
"rat21",-1,"ankle",78,54.8646419903246
"rat21",-1,"ankle",82,53.8109652761385
"rat21",-1,"ankle",83,67.3290110914193
"rat21",-1,"ankle",84,49.43376328339
"rat21",-1,"ankle",85,48.9130585918439
"rat21",-1,"ankle",86,59.5805076729048
"rat21",-1,"ankle",87,48.1737076510947
"rat21",-1,"ankle",88,55.9312609736105
"rat21",-1,"ankle",89,66.2841888290827
"rat21",-1,"ankle",92,56.5363647511942
"rat21",-1,"ankle",93,60.1632273148742
"rat21",-1,"ankle",94,60.8810600641245
"rat21",-1,"ankle",95,56.1326706886091
"rat21",-1,"ankle",98,53.2755883350406
"rat21",-1,"ankle",99,61.0965352103647
"rat21",-1,"ankle",102,65.0194907354898
"rat21",-1,"ankle",103,57.2383725682334
"rat21",-1,"ankle",104,56.4388901360866
"rat21",-1,"ankle",105,54.9310075688754
"rat21",-1,"ankle",108,61.1197129278896
"rat21",-1,"ankle",109,63.3683025288045
"rat21",-1,"ankle",110,54.2033705247164
"rat21",-1,"ankle",111,49.148265736887
"rat21",-1,"ankle",112,56.0558847469448
"rat21",-1,"ankle",113,53.6783761179614
"rat21",-1,"ankle",115,65.3527279463821
"rat21",-1,"ankle",116,55.3361133296486
"rat21",-1,"ankle",117,64.7163293645459
"rat21",-1,"ankle",118,54.5074931633454
"rat21",-1,"ankle",119,53.0096902883055
"rat21",-1,"ankle",120,57.2784154474109
"rat21",-1,"ankle",121,61.4227206535882
"rat21",-1,"ankle",122,54.5815844844819
"rat21",-1,"ankle",123,54.9800029484006
"rat21",-1,"ankle",124,51.4381202085427
"rat21",-1,"ankle",125,51.6814612374293
"rat21",-1,"ankle",126,58.7300346403524
"rat21",-1,"ankle",127,54.4681548339368
"rat21",-1,"ankle",128,47.8848466505423
"rat21",-1,"ankle",129,61.1844957667376
"rat21",-1,"ankle",130,67.7793649631757
"rat21",-1,"ankle",131,60.9364946845814
"rat21",-1,"ankle",132,64.9613324355241
"rat21",-1,"ankle",133,72.3927479203107
"rat21",-1,"ankle",135,77.3668079550677
"rat21",1,"knee",3,29.156428945731
"rat21",1,"knee",5,29.6340916089214
"rat21",1,"knee",8,30.2575007538745
"rat21",1,"knee",11,30.2349343825923
"rat21",1,"knee",16,30.1825617547943
"rat21",1,"knee",17,29.0997220077987
"rat21",1,"knee",18,24.4883096660389
"rat21",1,"knee",19,25.2644930533005
"rat21",1,"knee",20,25.4034774597274
"rat21",1,"knee",21,25.1727075385592
"rat21",1,"knee",23,24.2960106530925
"rat21",1,"knee",24,30.4745182366678
"rat21",1,"knee",25,27.6542957669352
"rat21",1,"knee",26,27.7859278100681
"rat21",1,"knee",30,29.0496098264005
"rat21",1,"knee",31,30.8768213450522
"rat21",1,"knee",33,28.1753578723557
"rat21",1,"knee",34,25.6389712011899
"rat21",1,"knee",36,27.8497731672939
"rat21",1,"knee",37,23.280089129696
"rat21",1,"knee",38,27.4218379434558
"rat21",1,"knee",39,29.0178910689601
"rat21",1,"knee",41,28.9307641844659
"rat21",1,"knee",42,27.172745517089
"rat21",1,"knee",44,26.5489922607667
"rat21",1,"knee",45,27.8545057579465
"rat21",1,"knee",46,26.665804805158
"rat21",1,"knee",47,26.593091181591
"rat21",1,"knee",48,27.9373090445864
"rat21",1,"knee",53,30.1199277590823
"rat21",1,"knee",54,32.9892734845844
"rat21",1,"knee",55,26.6461432705336
"rat21",1,"knee",56,28.3592795723095
"rat21",1,"knee",59,30.7953591028378
"rat21",1,"knee",60,25.8133239915811
"rat21",1,"knee",62,29.180387322296
"rat21",1,"knee",64,28.8126290776404
"rat21",1,"knee",65,27.8595283060059
"rat21",1,"knee",66,28.3385248910388
"rat21",1,"knee",67,25.6743423147317
"rat21",1,"knee",68,27.0478674786278
"rat21",1,"knee",69,29.1053358614544
"rat21",1,"knee",70,26.7875214730918
"rat21",1,"knee",71,27.2382122094347
"rat21",1,"knee",73,31.5384065017049
"rat21",1,"knee",74,28.6687372944216
"rat21",1,"knee",77,38.6221102950993
"rat21",1,"knee",78,28.045540975327
"rat21",1,"knee",80,28.7276654717243
"rat21",1,"knee",81,29.8756878674466
"rat21",1,"knee",82,27.1445512368946
"rat21",1,"knee",83,27.395435465819
"rat21",1,"knee",86,28.4886012671801
"rat21",1,"ankle",3,72.8666730492878
"rat21",1,"ankle",5,73.3034631202115
"rat21",1,"ankle",8,66.8072271657889
"rat21",1,"ankle",11,79.230452074946
"rat21",1,"ankle",17,72.4400265566246
"rat21",1,"ankle",18,84.6898205159838
"rat21",1,"ankle",19,84.8510369960606
"rat21",1,"ankle",20,81.4840686602694
"rat21",1,"ankle",21,82.9333728401049
"rat21",1,"ankle",23,70.6324822609982
"rat21",1,"ankle",24,56.0703213398454
"rat21",1,"ankle",25,77.7973118592862
"rat21",1,"ankle",26,78.3202966176008
"rat21",1,"ankle",30,74.2081240258373
"rat21",1,"ankle",31,80.0173468910784
"rat21",1,"ankle",33,73.083160883368
"rat21",1,"ankle",34,80.9536500156861
"rat21",1,"ankle",36,67.1334596955451
"rat21",1,"ankle",37,84.5093400056074
"rat21",1,"ankle",38,79.8357826666248
"rat21",1,"ankle",39,76.387130855247
"rat21",1,"ankle",41,88.9685621954833
"rat21",1,"ankle",42,80.6943468751556
"rat21",1,"ankle",44,81.2786376614309
"rat21",1,"ankle",45,79.0278962701884
"rat21",1,"ankle",46,88.1981008395572
"rat21",1,"ankle",47,74.1665918188019
"rat21",1,"ankle",48,84.0320262429658
"rat21",1,"ankle",53,73.6448100823343
"rat21",1,"ankle",54,74.93986801098
